종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
060310,3S,"2,190","-20","0.90","2,190","2,180","164,605","359,313,070","2,205","2,205","2,150","500",원(KRW),"44,802,511","98,117,499,090",1463
054620,APS홀딩스,"8,120","240","3.05","8,130","8,100","320,411","2,599,312,810","7,880","8,230","7,810","500",원(KRW),"20,394,221","165,601,074,520",
265520,AP시스템,"24,250","-50","0.21","24,250","24,200","230,334","5,567,228,600","24,300","24,500","23,800","500",원(KRW),"14,480,227","351,145,504,750",
211270,AP위성,"7,030","50","0.72","7,030","7,020","73,297","512,385,340","6,980","7,090","6,910","500",원(KRW),"15,014,804","105,554,072,120",
035760,CJ ENM,"136,700","-300","0.22","136,700","136,600","100,132","13,684,392,800","136,700","137,900","135,300","5,000",원(KRW),"21,929,154","2,997,715,351,800",
051500,CJ프레시웨이,"19,150","-500","2.54","19,150","19,100","105,661","2,030,141,000","19,550","19,550","18,900","1,000",원(KRW),"11,871,586","227,340,871,900",
058820,CMG제약,"6,200","50","0.81","6,210","6,190","5,627,066","35,029,525,700","6,150","6,350","6,070","500",원(KRW),"138,892,244","861,131,912,800",
023460,CNH,"2,195","-55","2.44","2,195","2,190","99,871","221,925,695","2,250","2,275","2,140","2,500",원(KRW),"37,200,000","81,654,000,000",
065770,CS,"2,410","-20","0.82","2,430","2,405","24,359","58,770,905","2,430","2,440","2,395","500",원(KRW),"18,835,150","45,392,711,500",
083660,CSA 코스믹,"2,285","-15","0.65","2,285","2,275","24,670","56,300,660","2,300","2,310","2,270","500",원(KRW),"37,072,045","84,709,622,825",
322780,DB금융스팩7호,"2,080","85","4.26","2,080","2,065","424,901","896,263,535","2,025","2,245","2,005","100",원(KRW),"4,550,000","9,464,000,000",
367340,DB금융스팩8호,"1,985","-10","0.50","1,985","1,980","39,950","79,362,130","1,995","1,995","1,980","100",원(KRW),"6,050,000","12,009,250,000",
068790,DMS,"8,400","-190","2.21","8,410","8,400","175,198","1,479,556,470","8,680","8,680","8,390","500",원(KRW),"24,573,061","206,413,712,400",
241520,DSC인베스트먼트,"8,140","10","0.12","8,150","8,130","1,187,157","9,540,188,920","8,120","8,270","7,770","500",원(KRW),"18,219,383","148,305,777,620",
245620,EDGC,"9,800","160","1.66","9,800","9,790","892,543","8,861,673,890","9,810","10,100","9,770","100",원(KRW),"42,914,524","420,562,335,200",
037370,EG,"10,550","-400","3.65","10,550","10,500","159,230","1,714,454,950","11,050","11,150","10,450","1,000",원(KRW),"7,500,000","79,125,000,000",
079190,EMW,"2,780","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"31,784,197","88,360,067,660",
130500,GH신소재,"10,950","200","1.86","11,000","10,950","2,462,721","27,135,285,000","11,000","11,350","10,750","500",원(KRW),"11,000,000","120,450,000,000",
