종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
095570,AJ네트웍스,"4,595","35","0.77","4,600","4,595","891,751","4,215,163,015","4,735","4,950","4,585","1,000",원(KRW),"46,822,295","215,148,445,525",917
006840,AK홀딩스,"25,200","-1,350","5.08","25,200","25,150","137,648","3,499,619,950","26,200","26,200","25,050","5,000",원(KRW),"13,247,561","333,838,537,200",
027410,BGF,"4,745","-55","1.15","4,750","4,745","1,521,513","7,317,978,115","4,760","4,885","4,720","1,000",원(KRW),"95,716,791","454,176,173,295",
282330,BGF리테일,"128,500","-3,500","2.65","129,000","128,500","60,130","7,798,218,000","133,500","134,000","128,000","1,000",원(KRW),"17,283,906","2,220,981,921,000",
138930,BNK금융지주,"5,810","-30","0.51","5,820","5,810","2,153,055","12,567,799,860","5,870","5,890","5,800","5,000",원(KRW),"325,935,246","1,893,683,779,260",
001460,BYC,"284,500","-3,500","1.22","284,500","284,000","217","62,082,000","286,000","288,000","284,000","5,000",원(KRW),"624,615","177,702,967,500",
001465,BYC우,"140,000","0","0.00","140,000","139,000","106","14,763,000","139,500","140,000","139,000","5,000",원(KRW),"215,385","30,153,900,000",
001040,CJ,"82,000","-1,200","1.44","82,100","82,000","116,693","9,674,609,300","83,600","84,500","82,000","5,000",원(KRW),"29,176,998","2,392,513,836,000",
079160,CJ CGV,"23,850","-300","1.24","23,950","23,800","640,099","15,161,474,600","23,600","24,050","23,200","500",원(KRW),"35,100,000","837,135,000,000",
00104K,CJ4우(전환),"62,700","-500","0.79","62,700","62,600","11,026","695,113,100","63,600","63,600","62,500","5,000",원(KRW),"4,226,512","265,002,302,400",
000120,CJ대한통운,"161,000","0","0.00","161,500","161,000","52,017","8,380,586,000","162,500","162,500","160,000","5,000",원(KRW),"22,812,344","3,672,787,384,000",
011150,CJ씨푸드,"5,360","100","1.90","5,370","5,360","2,993,001","16,332,292,180","5,410","5,550","5,350","500",원(KRW),"35,930,773","192,588,943,280",
011155,CJ씨푸드1우,"43,750","-350","0.79","43,950","43,750","686","30,392,500","45,000","45,000","43,750","500",원(KRW),"200,000","8,750,000,000",
001045,CJ우,"51,100","-500","0.97","51,200","51,100","4,048","207,575,900","51,300","51,600","51,000","5,000",원(KRW),"2,260,223","115,497,395,300",
097950,CJ제일제당,"378,000","1,000","0.27","378,000","377,500","77,574","29,367,867,500","380,500","383,000","373,500","5,000",원(KRW),"15,054,186","5,690,482,308,000",
097955,CJ제일제당 우,"163,500","500","0.31","163,500","163,000","10,386","1,699,139,000","164,500","165,000","162,500","5,000",원(KRW),"1,327,433","217,035,295,500",
000590,CS홀딩스,"57,600","-100","0.17","57,800","57,600","1,959","113,489,600","57,500","58,400","57,500","5,000",원(KRW),"1,154,482","66,498,163,200",
012030,DB,"721","1","0.14","721","720","539,113","388,558,788","723","726","717","500",원(KRW),"201,173,933","145,046,405,693",
016610,DB금융투자,"4,715","-20","0.42","4,720","4,715","182,051","862,383,060","4,745","4,775","4,695","5,000",원(KRW),"42,446,389","200,134,724,135",
005830,DB손해보험,"44,600","450","1.02","44,600","44,550","184,189","8,210,636,450","44,300","44,800","44,250","500",원(KRW),"70,800,000","3,157,680,000,000",
000990,DB하이텍,"35,250","-600","1.67","35,300","35,250","363,137","12,867,100,150","35,850","35,850","35,200","5,000",원(KRW),"44,398,588","1,565,050,227,000",
000995,DB하이텍1우,"110,000","-4,000","3.51","110,500","110,000","2,279","252,452,000","112,500","112,500","109,000","5,000",원(KRW),"112,316","12,354,760,000",
139130,DGB금융지주,"7,500","-140","1.83","7,500","7,490","606,868","4,576,538,650","7,630","7,640","7,490","5,000",원(KRW),"169,145,833","1,268,593,747,500",
001530,DI동일,"103,000","-2,500","2.37","103,000","102,000","17,163","1,785,151,500","107,500","108,000","102,500","5,000",원(KRW),"2,465,609","253,957,727,000",
004840,DRB동일,"6,680","-30","0.45","6,700","6,670","23,143","154,851,690","6,730","6,750","6,650","500",원(KRW),"19,930,000","133,132,400,000",
155660,DSR,"5,970","-230","3.71","5,970","5,960","231,883","1,394,446,500","6,200","6,210","5,900","500",원(KRW),"16,000,000","95,520,000,000",
069730,DSR제강,"4,825","-90","1.83","4,840","4,825","219,446","1,074,186,705","4,950","5,050","4,820","500",원(KRW),"14,400,000","69,480,000,000",
017940,E1,"45,300","-350","0.77","45,400","45,300","12,658","573,522,500","45,650","45,900","45,100","5,000",원(KRW),"6,860,000","310,758,000,000",
007700,F&F,"84,400","-1,100","1.29","84,500","84,400","41,651","3,531,481,100","85,500","85,800","84,100","500",원(KRW),"15,400,000","1,299,760,000,000",
114090,GKL,"17,700","-400","2.21","17,750","17,700","500,919","8,851,252,050","17,700","18,050","17,300","500",원(KRW),"61,855,670","1,094,845,359,000",
078930,GS,"38,000","-400","1.04","38,000","37,950","288,440","10,948,150,050","38,300","38,300","37,700","5,000",원(KRW),"92,915,378","3,530,784,364,000",
006360,GS건설,"37,650","-1,000","2.59","37,700","37,650","676,150","25,544,240,400","38,300","38,400","37,550","5,000",원(KRW),"80,097,804","3,015,682,320,600",
001250,GS글로벌,"2,010","70","3.61","2,020","2,010","2,223,483","4,500,196,390","1,945","2,070","1,935","2,500",원(KRW),"82,533,764","165,892,865,640",
007070,GS리테일,"34,650","-250","0.72","34,700","34,650","316,172","11,025,262,300","34,850","35,250","34,550","1,000",원(KRW),"77,000,000","2,668,050,000,000",
078935,GS우,"31,450","-50","0.16","31,450","31,350","4,509","141,731,550","31,600","31,600","31,300","5,000",원(KRW),"1,784,826","56,132,777,700",
012630,HDC,"11,050","-450","3.91","11,100","11,050","462,346","5,181,654,350","11,400","11,450","11,050","5,000",원(KRW),"59,741,721","660,146,017,050",
039570,HDC아이콘트롤스,"10,200","-200","1.92","10,200","10,150","83,433","842,583,030","10,300","10,300","9,980","500",원(KRW),"16,460,000","167,892,000,000",
089470,HDC현대EP,"6,360","-210","3.20","6,360","6,350","170,659","1,098,795,010","6,570","6,580","6,340","500",원(KRW),"31,900,000","202,884,000,000",
294870,HDC현대산업개발,"25,700","-450","1.72","25,750","25,700","1,151,668","29,833,684,950","25,900","26,350","25,300","5,000",원(KRW),"65,907,330","1,693,818,381,000",
011200,HMM,"13,300","-500","3.62","13,350","13,300","3,647,667","48,858,936,050","13,800","13,800","13,200","5,000",원(KRW),"326,726,323","4,345,460,095,900",
082740,HSD엔진,"9,830","-30","0.30","9,840","9,830","2,673,395","26,557,265,330","10,100","10,300","9,670","1,000",원(KRW),"32,947,142","323,870,405,860",
003560,IHQ,"1,605","10","0.63","1,610","1,605","1,944,802","3,129,174,775","1,600","1,640","1,590","500",원(KRW),"146,235,748","234,708,375,540",
175330,JB금융지주,"5,910","50","0.85","5,910","5,900","988,033","5,839,353,310","5,860","5,950","5,850","5,000",원(KRW),"196,982,894","1,164,168,903,540",
