,구별,구면적,공원명,공원면적,공원주소,위도,경도,인구수
0,중구,9960000.0,남산도시자연공원,2896887.0,서울특별시 중구 삼일대로 231(예장동),37.5501402,126.9903773,135321
1,중구,9960000.0,훈련원근린공원,16734.6,서울특별시 을지로동 서울특별시 중구 을지로 227 (을지로5가) 훈련원공원,37.5673407,127.0037725,135321
2,중구,9960000.0,손기정체육공원,29682.2,서울특별시 중구 중림동 손기정로 101 손기정 체육공원,37.5552859,126.9646656,135321
3,중구,9960000.0,문화역 서울284,2964.6,서울특별시 중구 봉래동2가 통일로 1,37.5558351,126.971732,135321
4,중구,9960000.0,서울로7017,22826.0,서울특별시 중구 회현동 퇴계로 18 서울로7017,37.5565067,126.9737554,135321
5,강동구,24590000.0,길동생태공원,80683.0,서울특별시 강동구 길동 산7-3 길동생태공원,37.5410211,127.1562098,462275
6,강동구,24590000.0,샛마을근린공원,11467.0,서울특별시 강동구 명일동 288 샛마을근린공원,37.54978990000001,127.1475646,462275
7,강동구,24590000.0,천호근린공원,26696.8,서울특별시 강동구 올림픽로 702(천호공원),37.5444741,127.1263451,462275
8,강동구,24590000.0,동명근린공원,99599.9,서울특별시 강동구 고덕동 229 동명근린공원,37.5616221,127.165007,462275
9,강동구,24590000.0,명일근린공원,649709.6,서울특별시 강동구 상일동 명일근린공원,37.5529688,127.1607458,462275
10,강동구,24590000.0,일자산도시자연공원,632733.0,서울특별시 강동구 길동 일자산자연공원,37.5321255,127.1508703,462275
11,강동구,24590000.0,허브천문공원,25500.0,서울특별시 강동구 둔촌동 허브천문공원,37.5373471,127.1544254,462275
12,마포구,23850000.0,월드컵공원,2284085.0,서울특별시 마포구 성산2동 월드컵로 243-60 월드컵공원,37.5639074,126.8973166,383494
13,마포구,23850000.0,외국인묘지공원,13224.0,서울특별시 마포구 양화진길 46(외국인묘지공원),37.546797,126.911414,383494
14,마포구,23850000.0,상암근린공원,160349.3,서울특별시 마포구 상암동 상암산로1길 상암근린공원,37.5783196,126.8855312,383494
15,마포구,23850000.0,와우근린공원,87432.4,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),37.5517298,126.9289936,383494
16,마포구,23850000.0,문화비축기지,140022.0,서울특별시 마포구 성산동 증산로 87 문화비축기지,37.5709869,126.894132,383494
17,종로구,23910000.0,광화문시민열린마당,8948.1,서울특별시 종로구 세종로 76-2,37.575044899999995,126.9780227,159842
18,종로구,23910000.0,낙산근린공원,201779.0,서울특별시 종로구 이화동 낙산길 41 낙산공원,37.5806571,127.0074835,159842
19,종로구,23910000.0,경희궁,98470.0,서울특별시 종로구 사직동 새문안로 45,37.5712378,126.9681688,159842
20,종로구,23910000.0,탑골근린공원,19599.7,서울특별시 종로구 종로1.2.3.4가동 종로 99 탑골공원,37.5711455,126.9883295,159842
21,종로구,23910000.0,마로니에공원,5802.0,서울특별시 종로구 이화동 대학로8길 1 마로니에 공원,37.5805009,127.0028245,159842
22,종로구,23910000.0,와룡근린공원,207790.0,서울특별시 종로구 와룡공원길 192 (우) 03063,37.59079439999999,126.9901672,159842
23,종로구,23910000.0,북악산도시자연공원,954553.0,서울특별시 종로구 부암동 산2-6,37.5929992,126.97372949999999,159842
24,종로구,23910000.0,사직근린공원,168099.87,서울특별시 종로구 사직로9길 5,37.5759864,126.96740179999999,159842
25,종로구,23910000.0,삼청근린공원,380735.0,서울특별시 종로구 북촌로 134-1 (우) 03050,37.5895821,126.9842875,159842
