구별,범죄,검거,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,범죄검거율
종로구,3846,4117,4,7,238,1515,2082,100.0,100.0,100.0,70.56105610561056,90.87415946205572,100.0
중구,4327,2804,2,6,195,2202,1922,50.0,83.33333333333334,58.97435897435898,47.68392370572207,84.96357960457856,64.80240351282643
용산구,3313,2611,3,3,272,999,2036,100.0,100.0,87.13235294117649,54.45445445445446,89.53831041257368,78.81074554784183
성동구,2512,1838,6,9,133,970,1394,83.33333333333334,100.0,72.18045112781955,52.680412371134025,87.23098995695841,73.1687898089172
광진구,4011,2816,4,6,273,1875,1853,100.0,83.33333333333334,78.02197802197803,53.76,85.53696708041014,70.20693093991524
동대문구,3692,2818,6,10,168,1531,1977,100.0,90.0,85.11904761904762,54.016982364467665,92.71623672230652,76.32719393282773
중랑구,4268,3138,10,4,138,1666,2450,100.0,100.0,78.26086956521739,54.50180072028812,86.0,73.52389878163073
성북구,2877,2323,3,3,176,1082,1613,100.0,100.0,73.86363636363636,67.56007393715342,90.26658400495971,80.74383037886687
강북구,3838,3023,6,3,176,1229,2424,100.0,66.66666666666666,82.38636363636364,54.02766476810415,91.006600660066,78.76498176133403
도봉구,2110,1497,1,5,90,790,1224,100.0,100.0,92.22222222222223,49.87341772151899,82.84313725490195,70.9478672985782
노원구,4153,2964,4,3,184,1498,2464,100.0,100.0,85.86956521739131,45.46061415220294,85.95779220779221,71.37009390801829
은평구,3880,3000,3,1,194,1565,2117,100.0,100.0,83.50515463917526,62.428115015974434,87.71846953235712,77.31958762886599
서대문구,2943,2020,2,5,175,1226,1535,50.0,100.0,88.0,48.939641109298535,82.08469055374594,68.63744478423376
마포구,4842,3170,2,2,495,2190,2153,100.0,100.0,84.24242424242424,41.87214611872146,85.09057129586623,65.46881453944651
양천구,3214,2124,6,2,127,1477,1602,100.0,100.0,88.18897637795277,42.924847664184156,85.51810237203495,66.08587429993777
강서구,4924,3543,8,3,306,2050,2557,100.0,100.0,83.98692810457517,52.536585365853654,85.88189284317559,71.95369618196588
구로구,4707,3291,10,3,226,1916,2552,90.0,100.0,73.00884955752213,50.365344467640924,84.1692789968652,69.91714467813894
금천구,3105,2343,6,10,153,1157,1779,100.0,60.0,82.35294117647058,53.15471045808125,89.3760539629005,75.45893719806763
영등포구,5820,3787,10,3,356,2409,3042,100.0,100.0,67.13483146067415,44.33374844333749,81.09796186719264,65.06872852233677
동작구,3400,2195,4,1,251,1328,1816,50.0,100.0,43.82470119521911,43.599397590361434,82.76431718061673,64.55882352941177
관악구,5328,3810,13,10,408,2223,2674,76.92307692307693,100.0,82.1078431372549,48.80791722896986,88.59386686611818,71.509009009009
서초구,5542,3750,5,7,616,2270,2644,100.0,71.42857142857143,66.88311688311688,49.25110132158591,83.58547655068078,67.66510285095634
강남구,7304,5069,5,5,666,2970,3658,60.0,100.0,84.38438438438438,45.08417508417508,86.35866593767084,69.40032858707558
송파구,5698,3799,7,10,273,2416,2992,100.0,100.0,84.24908424908425,42.05298013245033,84.72593582887701,66.67251667251666
강동구,4014,2955,6,15,180,1650,2163,83.33333333333334,93.33333333333331,86.1111111111111,54.96969696969697,86.63892741562643,73.61733931240659
